ticker,short_interest_%,days_to_cover,squeeze_skor,is_micro
CVS,1.43,2.32,15.89,0
CVX,1.05,2.53,15.8,0
D,3.09,7.49,46.72,0
DAL,3.86,5.43,38.73,0
DASH,4.48,4.08,33.84,0
DD,4.06,2.92,26.78,0
DDOG,3.51,2.03,20.68,0
DE,1.95,4.49,28.3,0
DECK,7.35,3.7,40.55,0
DELL,4.88,2.7,28.14,0
DG,3.02,2.53,21.71,0
DGX,3.13,4.25,30.64,0
DHI,4.75,5.27,40.6,0
DHR,1.54,2.83,18.77,0
DIS,1.2,2.16,14.4,0
DJT,8.66,3.25,42.23,0
DKNG,7.89,2.96,38.47,0
DLR,0.0,0.0,0.0,0
DLTR,4.94,3.23,30.97,0
DOC,4.56,4.75,37.43,0
DOV,4.33,5.1,38.49,0
DOW,5.79,4.43,39.52,0
DPZ,9.97,3.51,47.46,0
DRI,7.87,6.66,56.91,0
DTE,2.71,3.79,27.08,0
DUK,2.44,3.75,26.07,0
DUOL,21.57,5.75,93.46,0
DVA,14.41,4.72,66.83,0
DVN,2.62,2.66,21.16,0
DXCM,5.39,3.37,33.02,0
EBAY,4.06,3.83,31.33,0
ECHO,24.54,7.85,100.0,0
ECL,1.93,3.31,22.34,0
ED,3.41,4.36,32.03,0
EFX,7.7,7.24,59.3,0
EG,5.47,6.25,47.66,0
EH,16.04,12.76,100.0,0
EIX,5.28,3.25,32.09,0
EL,3.16,1.93,19.13,0
ELV,2.83,6.12,39.09,0
EME,2.08,2.4,18.24,0
EMR,1.58,3.23,20.89,0
ENPH,21.29,5.73,92.52,0
ENVX,27.4,6.37,100.0,0
EOG,3.15,5.08,34.85,0
EQIX,1.91,2.81,19.78,0
EQT,3.73,3.33,27.84,0
ERIE,10.47,7.78,70.31,0
ES,3.21,4.23,30.78,0
ESS,5.88,5.61,45.69,0
ETN,1.86,3.59,23.53,0
ETR,4.96,9.96,64.68,0
EVRG,9.37,9.21,74.16,0
EW,1.78,2.94,20.04,0
EXC,3.54,5.18,36.52,0
EXE,3.64,3.23,27.07,0
EXPD,3.81,4.25,32.68,0
EXPE,5.59,3.41,33.82,0
EXR,2.9,4.97,33.55,0
F,0.0,0.0,0.0,0
FANG,4.23,4.4,34.69,0
FAST,3.45,5.03,35.5,0
FCEL,25.17,2.6,88.51,0
FCX,2.15,2.16,17.25,0
FDS,14.46,5.62,71.48,0
FDX,1.99,3.25,22.22,0
FDXF,0.0,3.13,15.65,0
FE,6.7,7.13,55.75,0
FERG,3.21,1.34,16.33,0
FFIV,3.67,2.71,24.56,0
FICO,10.0,5.43,57.15,0
FIS,3.82,2.73,25.11,0
FISV,0.0,0.0,0.0,0
FITB,0.0,0.0,0.0,0
FIX,2.99,2.3,20.47,0
FLEX,3.0,3.08,24.4,0
FOX,7.71,9.97,72.98,0
FOXA,26.85,8.36,100.0,0
FRT,0.03,0.03,0.24,0
FSLR,11.47,3.72,53.01,0
FTNT,2.23,2.89,21.14,0
FTV,6.57,6.65,52.96,0
GD,1.14,3.25,19.67,0
GDDY,6.43,2.74,32.99,0
GE,1.54,4.45,26.87,0
GEHC,4.76,6.58,47.18,0
GEN,6.45,6.1,49.85,0
GEV,3.29,4.28,31.27,0
GILD,1.86,3.62,23.68,0
GIS,11.2,5.6,61.6,0
GL,0.05,0.07,0.5,0
GLW,2.63,2.03,18.04,0
GM,2.48,4.17,28.29,0
GME,13.91,7.43,78.88,0
GNRC,4.57,2.44,25.91,0
GOOG,0.0,2.58,12.9,0
GOOGL,1.32,3.01,19.01,0
GPC,6.2,6.54,51.3,0
