ticker,close,volume,quant_score,pc_ratio,tarih
LNT,67.86000061035156,1956200.0,82.6225,1133.0,2026-08-23
AEE,106.12999725341797,1587100.0,75.09,1224.0,2026-08-23
APA,43.38999938964844,6578400.0,74.3075,6435.0,2026-08-23
AFL,116.06999969482422,1993100.0,70.47999999999999,1684.0,2026-08-23
MO,66.08999633789062,9332800.0,68.905,25322.0,2026-08-23
ALLE,162.30999755859375,936200.0,68.23,1865.0,2026-08-23
A,159.0,2730300.0,64.02,9794.0,2026-08-23
AME,239.5500030517578,1288100.0,63.9625,8545.0,2026-08-23
APD,305.1000061035156,1356000.0,63.83,5091.0,2026-08-23
AAPL,309.3500061035156,46768100.0,63.602500000000006,60588.0,2026-08-23
MMM,178.9600067138672,2587900.0,63.1725,11721.0,2026-08-23
AIG,76.12000274658203,3157600.0,63.1175,969.0,2026-08-23
GOOGL,344.82000732421875,20803700.0,63.0,23495.0,2026-08-23
CHTR,150.1699981689453,2028600.0,62.8,0.0,2026-08-23
IT,195.89999389648438,1059800.0,62.8,0.0,2026-08-23
FOXA,68.54000091552734,5731700.0,62.8,0.0,2026-08-23
ABT,116.63999938964844,9834800.0,62.69500000000001,4495.0,2026-08-23
ECHO,86.80999755859375,2163300.0,62.275000000000006,0.0,2026-08-23
AWK,135.38999938964844,1942400.0,60.95,10572.0,2026-08-23
ERIE,264.8500061035156,341500.0,58.2325,0.0,2026-08-23
AMP,555.5900268554688,571600.0,57.64,1200.0,2026-08-23
CVNA,69.91000366210938,12496700.0,56.292500000000004,0.0,2026-08-23
EVRG,80.91999816894531,1706100.0,56.22,0.0,2026-08-23
ARES,141.25,1422700.0,55.7,0.0,2026-08-23
DVA,173.82000732421875,632600.0,55.6125,0.0,2026-08-23
CLX,106.69000244140625,2151200.0,54.7175,0.0,2026-08-23
AKAM,110.41999816894531,3011500.0,54.3425,7891.0,2026-08-23
FSLR,214.27999877929688,1502400.0,53.9375,0.0,2026-08-23
BXP,67.66999816894531,1670500.0,53.43000000000001,0.0,2026-08-23
CNP,38.77000045776367,7823800.0,53.36,0.0,2026-08-23
FOX,61.04999923706055,564500.0,53.275000000000006,0.0,2026-08-23
FICO,1172.6700439453125,293200.0,53.06,0.0,2026-08-23
AMZN,258.6300048828125,35652900.0,52.925,35861.0,2026-08-23
BF-B,28.440000534057617,2256000.0,52.8925,0.0,2026-08-23
GIS,39.970001220703125,5186000.0,52.447500000000005,0.0,2026-08-23
FDS,299.9100036621094,499300.0,52.2875,0.0,2026-08-23
HPQ,29.709999084472656,10134000.0,51.7175,0.0,2026-08-23
BAX,26.34000015258789,4360800.0,51.39,0.0,2026-08-23
GEN,28.93000030517578,7079500.0,51.1475,0.0,2026-08-23
CTSH,61.869998931884766,6859000.0,51.019999999999996,0.0,2026-08-23
EXPE,321.6300048828125,1361700.0,50.915000000000006,0.0,2026-08-23
INCY,127.80999755859375,1367400.0,50.915000000000006,0.0,2026-08-23
GPN,93.48999786376953,4132100.0,50.540000000000006,0.0,2026-08-23
ETR,104.62000274658203,2118400.0,50.42,0.0,2026-08-23
HST,23.209999084472656,10556200.0,50.22,0.0,2026-08-23
BRO,72.91999816894531,1311300.0,49.995000000000005,0.0,2026-08-23
DPZ,341.8500061035156,702200.0,49.965,0.0,2026-08-23
BBY,85.88999938964844,2574300.0,49.945,0.0,2026-08-23
AEP,120.94000244140625,5246800.0,49.739999999999995,17455.0,2026-08-23
CDW,137.25,2065600.0,49.150000000000006,0.0,2026-08-23
FE,45.959999084472656,4443500.0,49.1425,0.0,2026-08-23
APTV,48.279998779296875,3375800.0,49.087500000000006,0.0,2026-08-23
EIX,71.58999633789062,3946100.0,49.065,0.0,2026-08-23
CRL,295.19000244140625,887500.0,49.0475,0.0,2026-08-23
HRL,23.8799991607666,3524200.0,48.9675,0.0,2026-08-23
HSIC,88.5,758800.0,48.825,0.0,2026-08-23
COIN,186.49000549316406,22583200.0,48.807500000000005,0.0,2026-08-23
CHD,98.80000305175781,1623100.0,48.790000000000006,0.0,2026-08-23
BLDR,70.20999908447266,1629000.0,48.78,0.0,2026-08-23
DRI,221.60000610351562,759900.0,48.6075,0.0,2026-08-23
ED,106.3499984741211,2310700.0,48.6,0.0,2026-08-23
GPC,133.9600067138672,1245900.0,48.58,0.0,2026-08-23
D,66.5999984741211,3884000.0,48.2725,0.0,2026-08-23
HSY,186.4600067138672,927400.0,48.1325,0.0,2026-08-23
BDX,192.0,2524400.0,47.980000000000004,0.0,2026-08-23
HUBB,470.0299987792969,418281.0,47.91,0.0,2026-08-23
EFX,192.6199951171875,1169300.0,47.667500000000004,0.0,2026-08-23
FTV,60.08000183105469,1755400.0,47.6525,0.0,2026-08-23
ESS,289.0,254800.0,47.4875,0.0,2026-08-23
EBAY,104.12999725341797,3901400.0,47.332499999999996,0.0,2026-08-23
ITW,282.2900085449219,872300.0,47.28,0.0,2026-08-23
STZ,135.66000366210938,1903400.0,47.2725,0.0,2026-08-23
ADP,280.80999755859375,2609500.0,47.225,0.0,2026-08-23
EOG,153.0500030517578,3129100.0,47.22,0.0,2026-08-23
BX,143.3800048828125,2971900.0,47.1875,0.0,2026-08-23
DASH,223.49000549316406,3761400.0,47.1625,0.0,2026-08-23
BEN,34.310001373291016,6235000.0,47.1425,0.0,2026-08-23
CASY,835.739990234375,349300.0,47.14,0.0,2026-08-23
CPAY,417.1300048828125,335000.0,47.105000000000004,0.0,2026-08-23
ADM,80.30000305175781,3959300.0,47.05500000000001,0.0,2026-08-23
DLTR,131.47999572753906,1880700.0,46.885000000000005,0.0,2026-08-23
CF,129.60000610351562,3900700.0,46.765,0.0,2026-08-23
HPE,53.45000076293945,7894600.0,46.67,0.0,2026-08-23
AXON,627.75,603600.0,46.6125,0.0,2026-08-23
EG,370.05999755859375,226700.0,46.587500000000006,0.0,2026-08-23
ES,70.20999908447266,2091000.0,46.572500000000005,0.0,2026-08-23
DHI,148.35000610351562,1849600.0,46.55,0.0,2026-08-23
DXCM,92.33999633789062,3481300.0,46.427499999999995,0.0,2026-08-23
DE,647.469970703125,2392500.0,46.4225,0.0,2026-08-23
CPT,107.58999633789062,1246200.0,46.2975,0.0,2026-08-23
ADSK,253.8300018310547,1795300.0,46.254999999999995,0.0,2026-08-23
DECK,91.68000030517578,2292600.0,46.2375,0.0,2026-08-23
PODD,148.16000366210938,903600.0,46.2175,0.0,2026-08-23
CTAS,203.7899932861328,1731600.0,46.2,0.0,2026-08-23
EXPD,187.80999755859375,872300.0,46.19,0.0,2026-08-23
CPRT,33.79999923706055,11079600.0,46.165000000000006,0.0,2026-08-23
BG,113.11000061035156,1897700.0,46.1475,0.0,2026-08-23
DOC,21.399999618530273,5746100.0,46.1375,0.0,2026-08-23
FANG,210.72000122070312,1414200.0,46.1075,0.0,2026-08-23
ACN,185.27999877929688,4837600.0,46.0575,6155.0,2026-08-23
DOW,32.349998474121094,9183700.0,45.989999999999995,0.0,2026-08-23
HAS,93.54000091552734,1977500.0,45.9825,0.0,2026-08-23
COO,76.22000122070312,1554100.0,45.9725,0.0,2026-08-23
ARE,53.4900016784668,2997300.0,45.932500000000005,21089.0,2026-08-23
HAL,35.34000015258789,8775800.0,45.82,0.0,2026-08-23
CTVA,81.79000091552734,4674900.0,45.802499999999995,0.0,2026-08-23
BR,182.17999267578125,1142600.0,45.7375,0.0,2026-08-23
BMY,67.01000213623047,6841300.0,45.67,0.0,2026-08-23
BIIB,216.77999877929688,722300.0,45.67,0.0,2026-08-23
GEHC,74.81999969482422,2247400.0,45.540000000000006,0.0,2026-08-23
FAST,51.2599983215332,4752400.0,45.5275,0.0,2026-08-23
IR,80.51000213623047,6232200.0,45.4975,0.0,2026-08-23
EMR,157.25999450683594,2081300.0,45.485,0.0,2026-08-23
DAL,82.41000366210938,5075800.0,45.4025,0.0,2026-08-23
GDDY,97.06999969482422,1560300.0,45.39,0.0,2026-08-23
ACGL,99.38999938964844,1413800.0,45.3475,0.0,2026-08-23
DD,138.3300018310547,1119100.0,45.335,0.0,2026-08-23
HCA,429.19000244140625,2058000.0,45.325,0.0,2026-08-23
DTE,135.22000122070312,1135800.0,45.205,0.0,2026-08-23
TECH,72.31999969482422,3958000.0,45.150000000000006,0.0,2026-08-23
EXC,43.779998779296875,5324800.0,45.0975,0.0,2026-08-23
FIS,41.34000015258789,6539800.0,45.085,0.0,2026-08-23
DUK,119.8499984741211,4844700.0,45.055,0.0,2026-08-23
BKNG,209.6199951171875,4502800.0,44.97,0.0,2026-08-23
APO,132.69000244140625,2214900.0,44.942499999999995,5156.0,2026-08-23
AVY,183.7100067138672,478100.0,44.905,0.0,2026-08-23
CHRW,141.6300048828125,1034300.0,44.870000000000005,0.0,2026-08-23
CINF,168.2899932861328,450500.0,44.815,0.0,2026-08-23
EXR,146.80999755859375,644300.0,44.8025,0.0,2026-08-23
EL,101.94000244140625,6020900.0,44.8025,0.0,2026-08-23
COR,318.0400085449219,905400.0,44.7725,0.0,2026-08-23
CL,91.08000183105469,3667300.0,44.6425,0.0,2026-08-23
AIZ,284.0400085449219,587400.0,44.605000000000004,0.0,2026-08-23
DG,123.41000366210938,1770100.0,44.57,0.0,2026-08-23
AJG,263.80999755859375,1154600.0,44.540000000000006,0.0,2026-08-23
ELV,400.5400085449219,771500.0,44.4225,0.0,2026-08-23
CEG,272.8800048828125,2034000.0,44.3675,0.0,2026-08-23
DDOG,235.6199951171875,2804100.0,44.3475,0.0,2026-08-23
